tipo,subtipo,ubicacion,ciudad,hora,lat,lon
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.473295,-70.748637
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.473052,-70.748596
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.447482,-70.666773
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Vitacura > Oriente,Providencia,2025-02-13T16:25:43,-33.417704,-70.604637
CHIT_CHAT,,Manuel Montt,Providencia,2025-04-18T22:05:33,-33.431113,-70.618801
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.445903,-70.657977
ROAD_CLOSED,ROAD_CLOSED_EVENT,Salida Los Conquistadores,,2025-04-18T21:31:02,-33.409393,-70.606011
CHIT_CHAT,,Evaristo Lillo,Las Condes,2025-04-18T22:09:15,-33.413852,-70.581633
ROAD_CLOSED,ROAD_CLOSED_EVENT,Depósito Express Pudahuel,Pudahuel,2025-02-26T16:35:42,-33.442052,-70.790182
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:55,-33.393395,-70.673548
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Rozas,Cerro Navia,2025-01-20T01:44:57,-33.433525,-70.723054
POLICE,,Av. Hipódromo Chile,Independencia,2025-04-18T22:04:12,-33.406413,-70.667861
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:23:34,-33.388947,-70.677101
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Conquistadores,Providencia,2025-04-18T21:52:32,-33.411379,-70.607311
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Los Presidentes,Peñalolén,2025-03-19T16:49:20,-33.480904,-70.57564
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-18T00:00:47,-33.479202,-70.749505
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Los Presidentes,Peñalolén,2025-03-19T16:49:20,-33.480651,-70.576461
POLICE,,Condell,Providencia,2025-04-18T22:20:10,-33.442653,-70.627103
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.446756,-70.663972
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,,2024-06-06T09:21:43,-33.383685,-70.681238
ROAD_CLOSED,ROAD_CLOSED_EVENT,Aves del Paraíso,Maipú,2025-04-18T00:05:26,-33.471834,-70.747
POLICE,,Av. San Pablo,Quinta Normal,2025-04-18T22:23:02,-33.437658,-70.689514
ROAD_CLOSED,ROAD_CLOSED_EVENT,Las Acacias,"Malloco, Peñaflor",2025-04-16T10:53:46,-33.617869,-70.875472
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Ruta 79,,2025-04-18T22:25:11,-33.611773,-70.60238
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Aromos,"Malloco, Peñaflor",2025-04-15T13:44:42,-33.617618,-70.87692
ROAD_CLOSED,ROAD_CLOSED_EVENT,Depósito Express Pudahuel,Pudahuel,2025-02-26T16:12:39,-33.442797,-70.789916
CHIT_CHAT,,Av. Departamental,San Miguel,2025-04-18T22:15:15,-33.506874,-70.64041
ROAD_CLOSED,ROAD_CLOSED_EVENT,Acceso Autopista Américo Vespucio > Ruta 68 / Las Condes,,2025-02-07T12:41:32,-33.450178,-70.773923
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Av. Egaña,La Reina,2025-04-18T22:26:53,-33.456106,-70.571284
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Rozas,Cerro Navia,2025-01-20T01:44:56,-33.432738,-70.726965
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Los Presidentes,Peñalolén,2025-03-19T16:49:19,-33.480716,-70.57854
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Hugo Bravo,Maipú,2025-04-02T09:26:45,-33.474319,-70.758188
ROAD_CLOSED,ROAD_CLOSED_EVENT,El Pino,Conchalí,2024-06-26T17:09:10,-33.382993,-70.681648
ROAD_CLOSED,ROAD_CLOSED_EVENT,Aves del Paraíso,Maipú,2025-04-18T00:05:16,-33.471579,-70.750208
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-18T00:01:24,-33.478863,-70.749383
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Hugo Bravo,Maipú,2025-04-02T09:26:45,-33.474138,-70.756898
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:23:34,-33.388526,-70.677877
POLICE,,Av. Américo Vespucio,La Florida,2025-04-18T22:06:08,-33.51523,-70.592217
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.445406,-70.655981
CHIT_CHAT,,Las Amapolas,Lo Prado,2025-04-18T21:57:43,-33.443613,-70.730664
POLICE,,9ª Avenida,San Miguel,2025-04-18T22:16:37,-33.510939,-70.663077
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Nemesio Vicuña,Puente Alto,2025-04-18T22:17:38,-33.569574,-70.578224
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:54,-33.390777,-70.675194
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Santa Leonor,Padre Hurtado,2024-11-14T16:06:39,-33.562795,-70.807189
POLICE,POLICE_WITH_MOBILE_CAMERA,9ª Avenida,San Miguel,2025-04-18T22:16:25,-33.510938,-70.663083
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.470943,-70.748215
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Rozas,Cerro Navia,2025-01-20T01:44:57,-33.433864,-70.721805
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:55,-33.391343,-70.674781
CHIT_CHAT,,Av. La Paz,Independencia,2025-04-18T22:02:22,-33.42854,-70.651523
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.471202,-70.748263
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Av. Pdte. Jorge Alessandri Rodríguez,San Bernardo,2025-04-18T21:27:41,-33.570516,-70.712477
ROAD_CLOSED,ROAD_CLOSED_EVENT,Puerto Madero,Pudahuel,2025-04-17T11:40:36,-33.450907,-70.780039
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:55,-33.395803,-70.671848
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.472782,-70.748545
POLICE,POLICE_HIDING,Miraflores,Lampa,2025-04-18T22:18:14,-33.276848,-70.877806
ROAD_CLOSED,ROAD_CLOSED_EVENT,Ramón Carnicer,Providencia,2025-03-19T16:35:54,-33.437236,-70.634222
ROAD_CLOSED,ROAD_CLOSED_EVENT,General Bustamante,Providencia,2025-04-02T09:21:11,-33.437467,-70.632905
ROAD_CLOSED,ROAD_CLOSED_EVENT,Bartolomé Mandujano,Conchalí,2024-08-23T17:43:23,-33.397073,-70.670914
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Av. Vitacura,Vitacura,2025-04-18T21:56:09,-33.380271,-70.541906
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Los Presidentes,Peñalolén,2025-03-19T16:49:19,-33.480361,-70.577385
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Av. Manuel Rodríguez,Santiago,2025-04-18T22:25:58,-33.446444,-70.660693
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.470415,-70.748132
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.446154,-70.659047
ROAD_CLOSED,ROAD_CLOSED_EVENT,Romeo Salinas,Ñuñoa,2025-04-03T16:14:41,-33.437786,-70.574362
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Hugo Bravo,Maipú,2025-04-02T09:26:45,-33.474177,-70.756185
POLICE,,Matucana,Santiago,2025-04-18T22:19:38,-33.433932,-70.680448
POLICE,,Puerto Varas,La Granja,2025-04-18T22:24:26,-33.530509,-70.611655
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Rozas,Cerro Navia,2025-01-20T01:44:57,-33.432738,-70.726965
ROAD_CLOSED,ROAD_CLOSED_EVENT,Puerto Madero,Pudahuel,2025-04-17T11:40:36,-33.450796,-70.781418
ROAD_CLOSED,ROAD_CLOSED_EVENT,El Pino,Conchalí,2024-06-26T17:09:19,-33.383031,-70.68181
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. San Pablo,Pudahuel,2025-02-26T16:10:23,-33.443054,-70.788678
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Acceso a Autopista Central,,2025-04-18T21:47:34,-33.467965,-70.656626
POLICE,,Av. San José de la Estrella,La Florida,2025-04-18T22:16:20,-33.553949,-70.602052
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.474075,-70.748767
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Aromos,"Malloco, Peñaflor",2025-04-15T13:44:42,-33.614047,-70.875938
ROAD_CLOSED,ROAD_CLOSED_EVENT,Acceso a Autopista Américo Vespucio > Ruta 68 / Las Condes,,2025-03-20T14:11:19,-33.454313,-70.769138
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:53,-33.39572,-70.671918
POLICE,,Av. Lo Espejo,Lo Espejo,2025-04-18T22:24:02,-33.53454,-70.69783
ROAD_CLOSED,ROAD_CLOSED_EVENT,Salida > San Javier,,2025-01-31T21:55:37,-33.621131,-70.859475
ACCIDENT,,Gran Avenida José Miguel Carrera,La Cisterna,2025-04-18T22:07:22,-33.526154,-70.661413
CHIT_CHAT,,Bellavista,Providencia,2025-04-18T22:00:42,-33.434345,-70.633587
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Ossa,La Cisterna,2025-04-18T01:36:10,-33.539187,-70.663019
ROAD_CLOSED,ROAD_CLOSED_EVENT,Negrete,Conchalí,2024-12-17T11:59:07,-33.396267,-70.671402
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-18T00:04:57,-33.474695,-70.748857
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.445841,-70.66036
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Aromos,"Malloco, Peñaflor",2025-04-15T13:44:42,-33.616679,-70.876663
CHIT_CHAT,,Av. Concha y Toro,Puente Alto,2025-04-18T22:15:27,-33.603487,-70.576917
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Santa Leonor,Padre Hurtado,2024-11-14T16:06:39,-33.560919,-70.809294
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Los Presidentes,Peñalolén,2025-03-19T16:49:20,-33.481355,-70.574127
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Olmos,"Malloco, Peñaflor",2025-04-16T00:10:29,-33.616932,-70.875204
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Autopista Central - Eje Gral. Velásquez,,2025-04-18T22:09:17,-33.533755,-70.706766
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:54,-33.392827,-70.673901
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Aromos,"Malloco, Peñaflor",2025-04-15T13:44:42,-33.614812,-70.876155
CHIT_CHAT,,Lira,Santiago,2025-04-18T22:26:28,-33.449899,-70.638856
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.473567,-70.748682
JAM,JAM_STAND_STILL_TRAFFIC,,Lo Barnechea,2025-04-18T21:58:21,-33.35693,-70.539957
JAM,JAM_STAND_STILL_TRAFFIC,Av. Armando Cortínez Oriente,Pudahuel,2025-04-18T22:23:29,-33.403595,-70.791892
HAZARD,HAZARD_ON_ROAD_POT_HOLE,Av. Gladys Marín Millie,Estación Central,2025-04-18T22:10:21,-33.466911,-70.729797
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Las Violetas,Quilicura,2025-04-18T21:44:08,-33.368505,-70.745696
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. San Pablo,Pudahuel,2025-02-26T16:10:23,-33.443729,-70.784164
ROAD_CLOSED,ROAD_CLOSED_EVENT,Puerto Madero,Pudahuel,2025-04-17T11:40:36,-33.450674,-70.783012
HAZARD,HAZARD_ON_ROAD,Av. Américo Vespucio,La Granja,2025-04-18T21:58:02,-33.541302,-70.615266
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Aromos,"Malloco, Peñaflor",2025-04-15T13:44:42,-33.615636,-70.876384
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.447299,-70.666106
POLICE,POLICE_HIDING,Av. San Pablo,Santiago,2025-04-18T22:25:08,-33.4347,-70.663672
POLICE,,Corredor Transporte Público Concha y Toro,Puente Alto,2025-04-18T22:04:37,-33.603227,-70.577069
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Aromos,"Malloco, Peñaflor",2025-04-15T13:44:42,-33.613657,-70.875833
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:54,-33.396267,-70.671402
ROAD_CLOSED,ROAD_CLOSED_EVENT,Merced,Providencia,2024-10-30T18:00:08,-33.436627,-70.634662
HAZARD,HAZARD_ON_ROAD,Viel,Santiago,2025-04-18T22:13:08,-33.469077,-70.656685
POLICE,,Juan Bas,San Bernardo,2025-04-18T21:53:08,-33.543503,-70.713998
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Aromos,"Malloco, Peñaflor",2025-04-15T13:44:42,-33.616095,-70.876499
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.447342,-70.666276
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Ruta 79,,2025-04-18T21:41:09,-33.625098,-70.598115
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Rozas,Cerro Navia,2025-01-20T01:44:57,-33.434109,-70.72102
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Santa Ester,Liray,2025-04-18T22:12:46,-33.236055,-70.71694
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:54,-33.395503,-70.672108
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.447054,-70.665139
ROAD_CLOSED,ROAD_CLOSED_EVENT,Aves del Paraíso,Maipú,2025-04-18T00:05:26,-33.471714,-70.748344
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:21:44,-33.396926,-70.670756
POLICE,,Comercio,San Joaquín,2025-04-18T22:12:18,-33.493671,-70.62947
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. San Pablo,Pudahuel,2025-02-26T16:10:23,-33.443804,-70.782577
ROAD_CLOSED,ROAD_CLOSED_EVENT,Depósito Express Pudahuel,Pudahuel,2025-02-26T16:37:35,-33.441051,-70.789626
ROAD_CLOSED,ROAD_CLOSED_EVENT,Depósito Express Pudahuel,Pudahuel,2025-02-26T16:37:35,-33.44138,-70.790036
POLICE,,Antofagasta,Estación Central,2025-04-18T22:02:27,-33.466771,-70.681242
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.446268,-70.662062
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.447521,-70.666906
HAZARD,HAZARD_ON_ROAD,Los Conquistadores,Providencia,2025-04-18T21:28:56,-33.423343,-70.621766
CHIT_CHAT,,Av. Hipódromo Chile,Independencia,2025-04-18T22:04:50,-33.406413,-70.667863
HAZARD,HAZARD_ON_ROAD,Av. Calera de Tango,Calera de Tango,2025-04-18T22:23:52,-33.630658,-70.759943
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.446894,-70.664512
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Gran Avenida José Miguel Carrera,San Miguel,2025-04-18T22:10:59,-33.486244,-70.650083
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Av. Costanera Sur,Cerro Navia,2025-04-18T22:15:15,-33.41317,-70.742898
POLICE,,Copec,Cerrillos,2025-04-18T22:28:03,-33.519896,-70.723823
JAM,JAM_STAND_STILL_TRAFFIC,Av. Manuel Rodríguez,Santiago,2025-04-18T22:24:16,-33.43921,-70.660164
HAZARD,HAZARD_ON_ROAD,José Miguel Carrera,La Florida,2025-04-19T20:20:06,-33.550443,-70.566276
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Aromos,"Malloco, Peñaflor",2025-04-15T13:44:42,-33.614422,-70.876047
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-18T00:00:00,-33.474695,-70.748857
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:54,-33.392276,-70.674236
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Calera de Tango,Calera de Tango,2025-04-19T19:25:08,-33.609892,-70.82407
POLICE,,9ª Avenida,San Miguel,2025-04-19T20:11:58,-33.510936,-70.66309
ROAD_CLOSED,ROAD_CLOSED_EVENT,Salida > El Rosal,,2025-01-02T09:48:03,-33.492763,-70.763336
CHIT_CHAT,,Av. Irarrázaval,Ñuñoa,2025-04-19T20:18:17,-33.454988,-70.597262
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.472527,-70.748497
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Rozas,Cerro Navia,2025-01-20T01:44:57,-33.433401,-70.723618
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.473797,-70.748721
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Américo Vespucio,Pudahuel,2025-04-19T20:02:51,-33.415127,-70.78326
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Hugo Bravo,Maipú,2025-04-17T23:59:40,-33.474695,-70.748857
ROAD_CLOSED,ROAD_CLOSED_EVENT,Exequiel Figueroa,Ñuñoa,2024-10-14T18:51:40,-33.461725,-70.573615
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Ruta 57 CH / Autopista Los Libertadores,,2025-04-19T19:58:37,-33.203515,-70.664201
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.470274,-70.748114
ROAD_CLOSED,ROAD_CLOSED_EVENT,Puerto Madero,Pudahuel,2025-04-17T11:39:44,-33.44786,-70.777215
ROAD_CLOSED,,Necochea,Lo Prado,2025-04-19T19:59:44,-33.440261,-70.712989
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Mackenna,Renca,2025-01-06T09:05:32,-33.406206,-70.745639
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.445074,-70.654709
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Camino Santa Martina,Lo Barnechea,2025-04-19T20:18:02,-33.297445,-70.541848
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,,2024-06-26T17:08:54,-33.382259,-70.682391
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.447516,-70.666892
POLICE,,San Francisco,Santiago,2025-04-19T19:43:05,-33.458942,-70.645242
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.473295,-70.748637
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.447482,-70.666773
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Vitacura > Oriente,Providencia,2025-02-13T16:25:43,-33.417704,-70.604637
